,Unnamed: 0,sp500_x,gas_x,sp500_y,gas_y
1996-08-08 00:00:00,,,,-7.995071441671588,7.295027873332867
1996-08-09 00:00:00,,,,-7.979847944339163,5.971847901414982
1996-08-12 00:00:00,,,,-7.9660280875421545,4.525870903384148
1996-08-13 00:00:00,,,,-7.955899666789745,3.6124264381153184
1996-08-14 00:00:00,,,,-7.9532608897473684,2.9574344380721858
1996-08-15 00:00:00,,,,-7.95888637523248,2.1983282221538647
1996-08-16 00:00:00,,,,-7.964928970229988,2.0440640715366567
1996-08-19 00:00:00,,,,-7.978396736365792,1.4537911549250355
1996-08-20 00:00:00,,,,-7.998680657908748,0.8116997412605479
1996-08-21 00:00:00,,,,-8.024647232771374,0.3615625751440438
1996-08-22 00:00:00,,,,-8.043240348272036,-0.07521651157258653
1996-08-23 00:00:00,,,,-8.066252259377881,-0.5506085408625465
1996-08-26 00:00:00,,,,-8.09049438959236,-1.1176292976237496
1996-08-27 00:00:00,,,,-8.117721200645109,-2.0489524289373993
1996-08-28 00:00:00,,,,-8.151381979483494,-2.9525023783741404
1996-08-29 00:00:00,,,,-8.169511965907184,-3.782519159305077
1996-08-30 00:00:00,,,,-8.189183777123874,-4.356827487024217
1996-09-02 00:00:00,,,,-8.217036983331688,-4.356827487024217
1996-09-03 00:00:00,,,,-8.236514998104472,-4.841694822674339
1996-09-04 00:00:00,,,,-8.267416405177539,-5.361547078404024
1996-09-05 00:00:00,,,,-8.281252299419847,-5.856935083052021
1996-09-06 00:00:00,,,,-8.271483480310156,-6.330258832755708
1996-09-09 00:00:00,,,,-8.25427503559798,-6.828673727577897
1996-09-10 00:00:00,,,,-8.253529071049988,-7.389490900889551
1996-09-11 00:00:00,,,,-8.257046055346885,-7.948785435134645
1996-09-12 00:00:00,,,,-8.255156062671588,-8.480643797513991
1996-09-13 00:00:00,,,,-8.226199173674019,-8.988630285695542
1996-09-16 00:00:00,,,,-8.209449321233036,-9.420189820645232
1996-09-17 00:00:00,,,,-8.203753821583412,-9.922315647537868
1996-09-18 00:00:00,,,,-8.205475956428929,-10.443999791970908
1996-09-19 00:00:00,,,,-8.214197283614626,-10.897104433810847
1996-09-20 00:00:00,,,,-8.230082556981117,-11.399885001013857
1996-09-23 00:00:00,,,,-8.253544860422073,-11.876756070245003
1996-09-24 00:00:00,,,,-8.283668205154713,-12.414537646235129
1996-09-25 00:00:00,,,,-8.319366292756248,-12.94389795546152
1996-09-26 00:00:00,,,,-8.360492398287796,-13.467648469896435
1996-09-27 00:00:00,,,,-8.406595027918655,-13.989449789530731
1996-09-30 00:00:00,,,,-8.457525847965476,-14.507861577875532
1996-10-01 00:00:00,,,,-8.50563259528042,-15.035838138008254
1996-10-02 00:00:00,,,,-8.549601751699598,-15.543618438753514
1996-10-03 00:00:00,,,,-8.596241968949174,-15.71176217651
1996-10-04 00:00:00,,,,-8.602828968403703,-15.880728594937924
1996-10-07 00:00:00,,,,-8.619106262251853,-16.052159713451264
1996-10-08 00:00:00,,,,-8.63514171137592,-16.22180432849009
1996-10-09 00:00:00,,,,-8.649139141095114,-16.393928310120426
1996-10-10 00:00:00,,,,-8.670030668396715,-16.56582039500995
1996-10-11 00:00:00,,,,-8.670872071277234,-16.7396054286148
1996-10-14 00:00:00,,,,-8.681644746923212,-16.91629162353006
1996-10-15 00:00:00,,,,-8.701054762101199,-17.06524143843594
