,sp500,gas
1995-06-12,-8.343750846139214,-20.0
1995-06-13,-8.357811277419561,-20.0
1995-06-14,-8.379964045374013,-20.0
1995-06-15,-8.405297501064481,-20.0
1995-06-16,-8.436652623483864,-20.0
1995-06-19,-8.446608588982114,-20.0
1995-06-20,-8.464610752140608,-20.0
1995-06-21,-8.48982370529797,-20.0
1995-06-22,-8.489609058908316,-20.0
1995-06-23,-8.498216536230018,-20.0
1995-06-26,-8.476582393981177,-20.0
1995-06-27,-8.46729271488094,-20.0
1995-06-28,-8.46543231374593,-20.0
1995-06-29,-8.473289185140644,-20.0
1995-06-30,-8.489199896653826,-20.0
1995-07-03,-8.508007861784868,-20.0
1995-07-04,-8.508007861784868,-20.0
1995-07-05,-8.531670722628022,-20.0
1995-07-06,-8.53128008490758,-20.0
1995-07-07,-8.539026035731435,-20.0
1995-07-10,-8.555887729149081,-20.0
1995-07-11,-8.565922645537084,-20.0
1995-07-12,-8.552721612140699,-20.0
1995-07-13,-8.551265887329116,-20.0
1995-07-14,-8.557569805124402,-20.0
1995-07-17,-8.568462806072244,-20.0
1995-07-18,-8.566369730769006,-20.0
1995-07-19,-8.5381627888597,-20.0
1995-07-20,-8.51901670737107,-20.0
1995-07-21,-8.51261169441816,-20.0
1995-07-24,-8.496140399156147,-20.0
1995-07-25,-8.485585596492774,-20.0
1995-07-26,-8.485918232407066,-20.0
1995-07-27,-8.487185829922277,-20.0
1995-07-28,-8.48836159591914,-20.0
1995-07-31,-8.49816907091779,-20.0
1995-08-01,-8.514374685357083,-20.0
1995-08-02,-8.535721447961151,-20.0
1995-08-03,-8.56308001486739,-20.0
1995-08-04,-8.59738009826788,-20.0
1995-08-07,-8.637241560560527,-20.0
1995-08-08,-8.682183420517033,-20.0
1995-08-09,-8.732282884147132,-20.0
1995-08-10,-8.774331355844872,-20.0
1995-08-11,-8.82144739603548,-20.0
1995-08-14,-8.844931029842103,-20.0
1995-08-15,-8.874377909720986,-20.0
1995-08-16,-8.910863573948127,-20.0
1995-08-17,-8.954287698375616,-20.0
1995-08-18,-9.001852846164255,-20.0
1995-08-21,-9.045757627897993,-20.0
1995-08-22,-9.09336031782385,-20.0
1995-08-23,-9.141976853332444,-20.0
1995-08-24,-9.192275420161323,-20.0
1995-08-25,-9.23169041830085,-20.0
1995-08-28,-9.268552622518534,-20.0
1995-08-29,-9.309810692044742,-20.0
1995-08-30,-9.35707178331334,-20.0
1995-08-31,-9.404491911119534,-20.0
1995-09-01,-9.44965142192564,-20.0
1995-09-04,-9.44965142192564,-20.0
1995-09-05,-9.47688956653365,-20.0
1995-09-06,-9.516822852639256,-20.0
1995-09-07,-9.56340179534957,-20.0
1995-09-08,-9.61527935114544,-20.0
1995-09-11,-9.6724996755567,-20.0
1995-09-12,-9.723316225298907,-20.0
1995-09-13,-9.76354687775012,-20.0
1995-09-14,-9.780066189278651,-20.0
1995-09-15,-9.805392083293041,-20.0
1995-09-18,-9.830336615645976,-20.0
1995-09-19,-9.859873215271062,-20.0
1995-09-20,-9.892978198280733,-20.0
1995-09-21,-9.868622195459306,-20.0
1995-09-22,-9.859448109725511,-20.0
1995-09-25,-9.859380134880587,-20.0
1995-09-26,-9.870972902393166,-20.0
1995-09-27,-9.891898581450263,-20.0
1995-09-28,-9.900528111829775,-20.0
1995-09-29,-9.916426790670663,-20.0
1995-10-02,-9.923126318299067,-20.0
1995-10-03,-9.938308360662365,-20.0
1995-10-04,-9.959440237461012,-20.0
1995-10-05,-9.98449531024411,-20.0
1995-10-06,-10.017933619698873,-20.0
1995-10-09,-10.018338227786755,-20.0
1995-10-10,-10.030745326907889,-20.0
1995-10-11,-10.043932512991539,-20.0
1995-10-12,-10.037269145365086,-20.0
1995-10-13,-10.042278908570317,-20.0
1995-10-16,-10.042608320112473,-20.0
1995-10-17,-10.019150389080574,-20.0
1995-10-18,-10.008576753141595,-20.0
1995-10-19,-9.998864221089626,-20.0
1995-10-20,-9.973934818496918,-20.0
1995-10-23,-9.959037885935931,-20.0
1995-10-24,-9.953595957559699,-20.0
1995-10-25,-9.926662391110868,-20.0
1995-10-26,-9.888872670697483,-20.0
1995-10-27,-9.834815135981858,-20.0
1995-10-30,-9.785538536060725,-20.0
1995-10-31,-9.747281763254948,-20.0
1995-11-01,-9.702281747187907,-20.0
1995-11-02,-9.656488011521345,-20.0
1995-11-03,-9.62597255512223,-20.0
1995-11-06,-9.607573445119,-20.0
1995-11-07,-9.592882803998606,-20.0
1995-11-08,-9.555080327175409,-20.0
1995-11-09,-9.530978430030522,-20.0
1995-11-10,-9.51906972356318,-20.0
1995-11-13,-9.517653913565784,-20.0
1995-11-14,-9.514886747835506,-20.0
1995-11-15,-9.487422253464981,-20.0
1995-11-16,-9.461725892301859,-20.0
1995-11-17,-9.4472604576306,-20.0
1995-11-20,-9.435836771783,-17.695566164254387
1995-11-21,-9.42507520162533,-11.602008182015394
